,x1,x2,x3,x4,Class
1,low,low,low,low,high
2,low,low,low,medium,high
3,low,low,low,high,high
4,low,low,medium,low,high
5,low,low,medium,medium,high
6,low,low,medium,high,high
7,low,low,high,low,high
8,low,low,high,medium,high
9,low,low,high,high,high
10,low,medium,low,low,high
11,low,medium,low,medium,high
12,low,medium,low,high,high
13,low,medium,medium,low,high
14,low,medium,medium,medium,high
15,low,medium,medium,high,high
16,low,medium,high,low,high
17,low,medium,high,medium,high
18,low,medium,high,high,high
19,low,high,low,low,high
20,low,high,low,medium,high
21,low,high,low,high,high
22,low,high,medium,low,high
23,low,high,medium,medium,high
24,low,high,medium,high,high
25,low,high,high,low,high
26,low,high,high,medium,high
27,low,high,high,high,high
28,medium,low,low,low,low
29,medium,low,low,medium,low
30,medium,low,low,high,low
31,medium,low,medium,low,low
32,medium,low,medium,medium,low
33,medium,low,medium,high,low
34,medium,low,high,low,low
35,medium,low,high,medium,low
36,medium,low,high,high,low
37,medium,medium,low,low,low
38,medium,medium,low,medium,low
39,medium,medium,low,high,low
40,medium,medium,medium,low,low
41,medium,medium,medium,medium,low
42,medium,medium,medium,high,low
43,medium,medium,high,low,low
44,medium,medium,high,medium,low
45,medium,medium,high,high,low
46,medium,high,low,low,low
47,medium,high,low,medium,low
48,medium,high,low,high,low
49,medium,high,medium,low,low
50,medium,high,medium,medium,low
51,medium,high,medium,high,low
52,medium,high,high,low,low
53,medium,high,high,medium,low
54,medium,high,high,high,low
55,high,low,low,low,low
56,high,low,low,medium,low
57,high,low,low,high,low
58,high,low,medium,low,low
59,high,low,medium,medium,low
60,high,low,medium,high,low
61,high,low,high,low,low
62,high,low,high,medium,low
63,high,low,high,high,low
64,high,medium,low,low,low
65,high,medium,low,medium,low
66,high,medium,low,high,low
67,high,medium,medium,low,low
68,high,medium,medium,medium,low
69,high,medium,medium,high,low
70,high,medium,high,low,low
71,high,medium,high,medium,low
72,high,medium,high,high,low
73,high,high,low,low,low
74,high,high,low,medium,low
75,high,high,low,high,low
76,high,high,medium,low,low
77,high,high,medium,medium,low
78,high,high,medium,high,low
79,high,high,high,low,low
80,high,high,high,medium,low
81,high,high,high,high,low
