,sepal length,sepal width,petal length,petal width,Class,Activations
10,small,medium,small,small,Setosa,0.10744356850560154
41,medium,medium,medium,medium,Versicolour,0.0774405429614489
32,medium,small,medium,medium,Versicolour,0.04144321993418214
37,medium,medium,small,small,Setosa,0.025904298838289926
45,medium,medium,high,high,Virginica,0.02478436239598464
42,medium,medium,medium,high,Virginica,0.01935195692648656
72,high,medium,high,high,Virginica,0.015135802968958601
46,medium,high,small,small,Setosa,0.013208623356487589
5,small,small,medium,medium,Versicolour,0.01159986827051287
19,small,high,small,small,Setosa,0.010230152229940498
